speed_src_ip,std_n_packets,std_bytes,bytes_per_flow,n_int_flows,class
393.6666666666667,0.04111705518096185,7.154367601487362,393.6666666666667,0.0,1
341.3333333333333,0.0,0.0,341.3333333333333,0.0,1
2648.0,0.0,0.0,2648.0,0.0,1
1139.6666666666667,0.0,0.0,1139.6666666666667,0.0,1
747.6666666666666,0.0,0.0,747.6666666666666,0.0,1
913.3333333333334,0.0,0.0,913.3333333333334,0.0,1
830.0,0.0,0.0,830.0,0.0,1
1200.0,0.0,0.0,1200.0,0.0,1
1381.6666666666667,0.0,0.0,1381.6666666666667,0.0,1
1189.0,0.0,0.0,1189.0,0.0,1
677.3333333333334,0.0,0.0,677.3333333333334,0.0,1
907.6666666666666,0.0,0.0,907.6666666666666,0.0,1
1168.6666666666667,0.0,0.0,1168.6666666666667,0.0,1
91.66666666666667,0.0,0.0,91.66666666666667,0.0,1
208.33333333333334,0.0,0.0,208.33333333333334,0.0,1
76.66666666666667,0.0,0.0,76.66666666666667,0.0,1
269.3333333333333,0.0,0.0,269.3333333333333,0.0,1
264.6666666666667,0.0,0.0,264.6666666666667,0.0,1
146.66666666666666,0.0,0.0,146.66666666666666,0.0,1
282.6666666666667,0.0,0.0,282.6666666666667,0.0,1
197.33333333333334,0.0,0.0,197.33333333333334,0.0,1
2309.0,0.0,0.0,2309.0,0.0,1
460.3333333333333,0.0,0.0,460.3333333333333,0.0,1
354.6666666666667,0.0,0.0,354.6666666666667,0.0,1
1110.0,0.0,0.0,1110.0,0.0,1
645.0,0.0,0.0,645.0,0.0,1
529.3333333333334,0.0,0.0,529.3333333333334,0.0,1
503.3333333333333,0.0,0.0,503.3333333333333,0.0,1
561.6666666666666,0.0,0.0,561.6666666666666,0.0,1
715.3333333333334,0.0,0.0,715.3333333333334,0.0,1
466.3333333333333,0.0,0.0,466.3333333333333,0.0,1
418.0,0.0,0.0,418.0,0.0,1
696.0,0.0,0.0,696.0,0.0,1
506.0,0.0,0.0,506.0,0.0,1
408.0,0.0,0.0,408.0,0.0,1
591.6666666666666,0.0,0.0,591.6666666666666,0.0,1
381.0,0.0,0.0,381.0,0.0,1
362.3333333333333,0.0,0.0,362.3333333333333,0.0,1
490.3333333333333,0.0,0.0,490.3333333333333,0.0,1
336.0,0.0,0.0,336.0,0.0,1
298.3333333333333,0.0,0.0,298.3333333333333,0.0,1
240.0,0.0,0.0,240.0,0.0,1
917.3333333333334,0.0,0.0,917.3333333333334,0.0,1
300.6666666666667,0.0,0.0,300.6666666666667,0.0,1
645.6666666666666,0.0,0.0,645.6666666666666,0.0,1
380.3333333333333,0.0,0.0,380.3333333333333,0.0,1
183.33333333333334,0.0,0.0,183.33333333333334,0.0,1
811.6666666666666,0.0,0.0,811.6666666666666,0.0,1
