speed_src_ip,std_n_packets,std_bytes,bytes_per_flow,n_int_flows,class
192.0,0.0,0.0,192.0,0.0,1
285.3333333333333,0.0,0.0,285.3333333333333,0.0,1
654.0,0.0,0.0,654.0,0.0,1
1929.3333333333333,0.0,0.0,1929.3333333333333,0.0,1
1421.3333333333333,0.0,0.0,1421.3333333333333,0.0,1
797.3333333333334,0.0,0.0,797.3333333333334,0.0,1
848.0,0.0,0.0,848.0,0.0,1
823.3333333333334,0.0,0.0,823.3333333333334,0.0,1
1234.6666666666667,0.0,0.0,1234.6666666666667,0.0,1
237.0,16.564633943059377,2683.4706987756194,237.0,0.0,1
109.33333333333333,20.123007871369428,3259.927275161846,109.33333333333333,0.0,1
122.66666666666667,0.676750469534468,109.63357606458379,122.66666666666667,0.0,1
98.66666666666667,0.0,0.0,98.66666666666667,0.0,1
66.66666666666667,0.0,0.0,66.66666666666667,0.0,1
242.66666666666666,0.0,0.0,242.66666666666666,0.0,1
106.66666666666667,0.0,0.0,106.66666666666667,0.0,1
272.0,0.0,0.0,272.0,0.0,1
191.33333333333334,0.0,0.0,191.33333333333334,0.0,1
190.33333333333334,0.0,0.0,190.33333333333334,0.0,1
315.0,0.0,0.0,315.0,0.0,1
336.0,0.0,0.0,336.0,0.0,1
290.0,0.0,0.0,290.0,0.0,1
143.66666666666666,0.0,0.0,143.66666666666666,0.0,1
347.0,0.0,0.0,347.0,0.0,1
148.33333333333334,0.0,0.0,148.33333333333334,0.0,1
279.0,0.0,0.0,279.0,0.0,1
208.33333333333334,0.0,0.0,208.33333333333334,0.0,1
288.0,0.0,0.0,288.0,0.0,1
130.66666666666666,0.0,0.0,130.66666666666666,0.0,1
573.3333333333334,0.0,0.0,573.3333333333334,0.0,1
298.6666666666667,0.0,0.0,298.6666666666667,0.0,1
625.0,0.0,0.0,625.0,0.0,1
469.3333333333333,0.0,0.0,469.3333333333333,0.0,1
744.0,0.0,0.0,744.0,0.0,1
1632.6666666666667,0.0,0.0,1632.6666666666667,0.0,1
860.3333333333334,0.0,0.0,860.3333333333334,0.0,1
143.0,0.0,0.0,143.0,0.0,1
199.0,0.0,0.0,199.0,0.0,1
188.33333333333334,0.0,0.0,188.33333333333334,0.0,1
364.3333333333333,0.0,0.0,364.3333333333333,0.0,1
353.6666666666667,0.0,0.0,353.6666666666667,0.0,1
429.3333333333333,0.0,0.0,429.3333333333333,0.0,1
157.33333333333334,0.0,0.0,157.33333333333334,0.0,1
410.6666666666667,0.0,0.0,410.6666666666667,0.0,1
386.3333333333333,0.0,0.0,386.3333333333333,0.0,1
762.6666666666666,0.0,0.0,762.6666666666666,0.0,1
373.3333333333333,0.0,0.0,373.3333333333333,0.0,1
458.6666666666667,0.0,0.0,458.6666666666667,0.0,1
498.3333333333333,0.0,0.0,498.3333333333333,0.0,1
377.6666666666667,0.0,0.0,377.6666666666667,0.0,1
820.6666666666666,0.0,0.0,820.6666666666666,0.0,1
373.3333333333333,0.0,0.0,373.3333333333333,0.0,1
546.3333333333334,0.0,0.0,546.3333333333334,0.0,1
625.6666666666666,0.0,0.0,625.6666666666666,0.0,1
467.6666666666667,0.0,0.0,467.6666666666667,0.0,1
311.0,0.0,0.0,311.0,0.0,1
579.6666666666666,0.0,0.0,579.6666666666666,0.0,1
593.0,0.0,0.0,593.0,0.0,1
957.6666666666666,0.0,0.0,957.6666666666666,0.0,1
1035.3333333333333,0.0,0.0,1035.3333333333333,0.0,1
1229.3333333333333,0.0,0.0,1229.3333333333333,0.0,1
1042.6666666666667,0.0,0.0,1042.6666666666667,0.0,1
1191.6666666666667,0.0,0.0,1191.6666666666667,0.0,1
317.3333333333333,0.0,0.0,317.3333333333333,0.0,1
319.0,0.0,0.0,319.0,0.0,1
761.0,0.0,0.0,761.0,0.0,1
324.0,0.0,0.0,324.0,0.0,1
47.666666666666664,344.7415703893868,55848.13440308068,47.666666666666664,0.0,1
194.66666666666666,0.0,0.0,194.66666666666666,0.0,1
310.0,0.0,0.0,310.0,0.0,1
100.66666666666667,0.0,0.0,100.66666666666667,0.0,1
255.33333333333334,0.0,0.0,255.33333333333334,0.0,1
173.66666666666666,0.0,0.0,173.66666666666666,0.0,1
210.33333333333334,0.0,0.0,210.33333333333334,0.0,1
208.0,0.0,0.0,208.0,0.0,1
