speed_src_ip,std_n_packets,std_bytes,bytes_per_flow,n_int_flows,class
207.66666666666666,0.04003198688070602,6.485181874674376,207.66666666666666,0.0,1
358.6666666666667,0.0,0.0,358.6666666666667,0.0,1
596.3333333333334,0.0,0.0,596.3333333333334,0.0,1
2719.6666666666665,0.0,0.0,2719.6666666666665,0.0,1
1380.3333333333333,0.0,0.0,1380.3333333333333,0.0,1
678.3333333333334,0.0,0.0,678.3333333333334,0.0,1
1003.3333333333334,0.0,0.0,1003.3333333333334,0.0,1
550.0,0.0,0.0,550.0,0.0,1
529.0,0.0,0.0,529.0,0.0,1
1026.0,0.0,0.0,1026.0,0.0,1
573.3333333333334,0.0,0.0,573.3333333333334,0.0,1
410.3333333333333,0.0,0.0,410.3333333333333,0.0,1
327.3333333333333,0.0,0.0,327.3333333333333,0.0,1
1692.3333333333333,0.0,0.0,1692.3333333333333,0.0,1
735.6666666666666,0.0,0.0,735.6666666666666,0.0,1
309.3333333333333,0.0,0.0,309.3333333333333,0.0,1
213.0,0.0,0.0,213.0,0.0,1
243.33333333333334,0.0,0.0,243.33333333333334,0.0,1
441.6666666666667,0.0,0.0,441.6666666666667,0.0,1
416.3333333333333,0.0,0.0,416.3333333333333,0.0,1
233.66666666666666,0.0,0.0,233.66666666666666,0.0,1
191.66666666666666,0.0,0.0,191.66666666666666,0.0,1
181.33333333333334,0.0,0.0,181.33333333333334,0.0,1
234.66666666666666,0.0,0.0,234.66666666666666,0.0,1
421.3333333333333,0.0,0.0,421.3333333333333,0.0,1
290.3333333333333,0.0,0.0,290.3333333333333,0.0,1
626.6666666666666,0.0,0.0,626.6666666666666,0.0,1
533.6666666666666,0.0,0.0,533.6666666666666,0.0,1
113.0,0.0,0.0,113.0,0.0,1
141.33333333333334,0.0,0.0,141.33333333333334,0.0,1
294.3333333333333,0.0,0.0,294.3333333333333,0.0,1
224.33333333333334,0.0,0.0,224.33333333333334,0.0,1
176.0,0.0,0.0,176.0,0.0,1
225.66666666666666,0.0,0.0,225.66666666666666,0.0,1
276.3333333333333,0.0,0.0,276.3333333333333,0.0,1
297.0,0.0,0.0,297.0,0.0,1
225.66666666666666,0.0,0.0,225.66666666666666,0.0,1
117.33333333333333,0.0,0.0,117.33333333333333,0.0,1
177.0,0.0,0.0,177.0,0.0,1
188.33333333333334,0.0,0.0,188.33333333333334,0.0,1
187.66666666666666,0.0,0.0,187.66666666666666,0.0,1
183.0,0.0,0.0,183.0,0.0,1
224.66666666666666,0.0,0.0,224.66666666666666,0.0,1
244.66666666666666,0.0,0.0,244.66666666666666,0.0,1
150.0,0.0,0.0,150.0,0.0,1
178.33333333333334,0.0,0.0,178.33333333333334,0.0,1
152.33333333333334,0.0,0.0,152.33333333333334,0.0,1
145.33333333333334,0.0,0.0,145.33333333333334,0.0,1
98.0,0.0,0.0,98.0,0.0,1
252.66666666666666,0.0,0.0,252.66666666666666,0.0,1
276.0,0.0,0.0,276.0,0.0,1
198.33333333333334,0.0,0.0,198.33333333333334,0.0,1
201.33333333333334,0.0,0.0,201.33333333333334,0.0,1
180.66666666666666,0.0,0.0,180.66666666666666,0.0,1
252.33333333333334,0.0,0.0,252.33333333333334,0.0,1
261.0,0.0,0.0,261.0,0.0,1
261.3333333333333,0.0,0.0,261.3333333333333,0.0,1
266.3333333333333,0.0,0.0,266.3333333333333,0.0,1
130.66666666666666,0.0,0.0,130.66666666666666,0.0,1
160.66666666666666,0.0,0.0,160.66666666666666,0.0,1
239.66666666666666,0.0,0.0,239.66666666666666,0.0,1
222.0,0.0,0.0,222.0,0.0,1
244.0,0.0,0.0,244.0,0.0,1
182.0,0.0,0.0,182.0,0.0,1
192.66666666666666,0.0,0.0,192.66666666666666,0.0,1
133.33333333333334,0.0,0.0,133.33333333333334,0.0,1
111.66666666666667,0.0,0.0,111.66666666666667,0.0,1
282.3333333333333,0.0,0.0,282.3333333333333,0.0,1
64.0,0.0,0.0,64.0,0.0,1
282.6666666666667,0.0,0.0,282.6666666666667,0.0,1
392.0,0.0,0.0,392.0,0.0,1
199.66666666666666,0.0,0.0,199.66666666666666,0.0,1
215.66666666666666,0.0,0.0,215.66666666666666,0.0,1
347.0,0.0,0.0,347.0,0.0,1
317.0,0.0,0.0,317.0,0.0,1
666.6666666666666,0.0,0.0,666.6666666666666,0.0,1
666.0,0.0,0.0,666.0,0.0,1
554.0,0.0,0.0,554.0,0.0,1
400.6666666666667,0.0,0.0,400.6666666666667,0.0,1
309.3333333333333,0.0,0.0,309.3333333333333,0.0,1
467.6666666666667,0.0,0.0,467.6666666666667,0.0,1
385.3333333333333,0.0,0.0,385.3333333333333,0.0,1
737.6666666666666,0.0,0.0,737.6666666666666,0.0,1
454.6666666666667,0.0,0.0,454.6666666666667,0.0,1
643.0,0.0,0.0,643.0,0.0,1
593.6666666666666,0.0,0.0,593.6666666666666,0.0,1
