speed_src_ip,std_n_packets,std_bytes,bytes_per_flow,n_int_flows,class
1.6666666666666667,24474.168215487935,3964815.250909046,1.6666666666666667,5.0,1
2.6666666666666665,12253.551434176134,1985075.3323365338,2.6666666666666665,8.0,1
3.0,28723.86865042579,4653266.721368978,3.0,9.0,1
4.333333333333333,50931.57608982941,8250915.326552364,4.333333333333333,13.0,1
3.0,65149.86738623836,10554278.516570615,3.0,9.0,1
4.333333333333333,35821.07885063861,5803014.773803456,4.333333333333333,13.0,1
4.0,0.0,0.0,4.0,12.0,1
3.0,84734.01980314637,13726911.20810971,3.0,9.0,1
3.0,26086.73191253636,4226050.569830891,3.0,9.0,1
3.0,35560.05310721083,5760728.603368154,3.0,9.0,1
2.0,36702.07442668905,5945736.057123626,2.0,6.0,1
2.3333333333333335,62362.15599387246,10102669.271007337,2.3333333333333335,7.0,1
3.3333333333333335,0.0,0.0,3.3333333333333335,10.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
2.6666666666666665,0.0,0.0,2.6666666666666665,8.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
4.0,0.0,0.0,4.0,12.0,1
2.0,0.0,0.0,2.0,6.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
4.333333333333333,0.0,0.0,4.333333333333333,13.0,1
4.0,0.0,0.0,4.0,12.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
4.0,0.0,0.0,4.0,12.0,1
3.3333333333333335,0.0,0.0,3.3333333333333335,10.0,1
3.3333333333333335,0.0,0.0,3.3333333333333335,10.0,1
4.0,0.0,0.0,4.0,12.0,1
4.333333333333333,0.0,0.0,4.333333333333333,13.0,1
4.0,0.0,0.0,4.0,12.0,1
4.0,0.0,0.0,4.0,12.0,1
3.3333333333333335,0.0,0.0,3.3333333333333335,10.0,1
3.0,0.0,0.0,3.0,9.0,1
2.6666666666666665,0.0,0.0,2.6666666666666665,8.0,1
3.3333333333333335,0.0,0.0,3.3333333333333335,10.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
4.333333333333333,0.0,0.0,4.333333333333333,13.0,1
4.0,0.0,0.0,4.0,12.0,1
3.6666666666666665,0.0,0.0,3.6666666666666665,11.0,1
4.0,0.0,0.0,4.0,12.0,1
4.666666666666667,0.0,0.0,4.666666666666667,14.0,1
2.3333333333333335,0.0,0.0,2.3333333333333335,7.0,1
0.6666666666666666,0.0,0.0,0.6666666666666666,2.0,1
0.6666666666666666,0.0,0.0,0.6666666666666666,2.0,1
1.0,0.0,0.0,1.0,3.0,1
1.6666666666666667,0.0,0.0,1.6666666666666667,5.0,1
2.0,0.0,0.0,2.0,6.0,1
0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1
0.6666666666666666,17401.0,2818962.0,0.6666666666666666,2.0,1
1.3333333333333333,50000.268796152486,8100043.544976703,1.3333333333333333,4.0,1
1.3333333333333333,40872.68442982428,6621374.877631533,1.3333333333333333,4.0,1
1.3333333333333333,91180.4108471222,14771226.557233797,1.3333333333333333,4.0,1
1.3333333333333333,51465.259255637684,8337371.999413304,1.3333333333333333,4.0,1
1.3333333333333333,30238.382276297452,4898617.928760188,1.3333333333333333,4.0,1
0.6666666666666666,651.5,105543.0,0.6666666666666666,2.0,1
0.6666666666666666,8340.5,1351161.0,0.6666666666666666,2.0,1
1.0,56987.82050773852,9232026.922253639,1.0,3.0,1
1.6666666666666667,105782.44229284933,17136755.651441593,1.6666666666666667,5.0,1
0.6666666666666666,0.0,0.0,0.6666666666666666,2.0,1
1.3333333333333333,69080.50469922755,11191041.761274863,1.3333333333333333,4.0,1
2.0,93754.99996444634,15188309.994240306,2.0,6.0,1
2.3333333333333335,43848.66581266779,7103483.8616521815,2.3333333333333335,7.0,1
1.6666666666666667,71999.6,11663935.2,1.6666666666666667,5.0,1
2.0,67980.20209590436,11012792.739536507,2.0,6.0,1
2.0,48104.03670056068,7792853.945490831,2.0,6.0,1
2.3333333333333335,94032.58186676899,15233278.262416575,2.3333333333333335,7.0,1
2.3333333333333335,98481.44664693685,15953994.35680377,2.3333333333333335,7.0,1
2.0,96328.53337133408,15605222.406156119,2.0,6.0,1
2.0,59698.80794920076,9671206.887770522,2.0,6.0,1
2.3333333333333335,81836.73670254972,13257551.345813055,2.3333333333333335,7.0,1
1.6666666666666667,75349.31519157955,12206589.061035886,1.6666666666666667,5.0,1
1.6666666666666667,87455.6706163757,14167818.639852865,1.6666666666666667,5.0,1
1.3333333333333333,48464.45851020622,7851242.2786534075,1.3333333333333333,4.0,1
2.0,39536.50361129011,6404913.585028997,2.0,6.0,1
2.0,51659.68990556263,8368869.764701145,2.0,6.0,1
1.6666666666666667,76044.6095330892,12319226.744360449,1.6666666666666667,5.0,1
1.6666666666666667,74681.97882648799,12098480.569891054,1.6666666666666667,5.0,1
1.3333333333333333,43966.24029866552,7122530.928383814,1.3333333333333333,4.0,1
2.0,67126.51750984852,10874495.83659546,2.0,6.0,1
2.3333333333333335,35888.50007897192,5813937.012793451,2.3333333333333335,7.0,1
1.3333333333333333,28172.992602623883,4564024.801625069,1.3333333333333333,4.0,1
1.3333333333333333,44858.453776852366,7267069.511850082,1.3333333333333333,4.0,1
1.3333333333333333,16574.4209401113,2685056.192298031,1.3333333333333333,4.0,1
1.0,39443.415952475516,6389833.384301034,1.0,3.0,1
